# Time(s)  Normalized_Flux
15070.000000 1.062595
15080.000000 1.058913
15090.000000 1.062057
15100.000000 1.034023
15110.000000 1.043635
15120.000000 1.021486
15130.000000 1.010748
15140.000000 1.000403
15150.000000 1.026347
15160.000000 0.992762
15170.000000 1.002444
15180.000000 0.983577
15190.000000 0.973328
15200.000000 0.982121
15210.000000 0.968240
15220.000000 0.963262
15230.000000 0.971929
15240.000000 0.968047
15250.000000 0.976181
15260.000000 0.973785
15270.000000 0.971848
15280.000000 0.962216
15290.000000 0.971850
15300.000000 0.971401
15310.000000 0.972926
15320.000000 0.955145
15330.000000 0.951653
15340.000000 0.968265
15350.000000 0.975035
15360.000000 0.972769
15370.000000 0.992365
15380.000000 1.011113
15390.000000 1.000864
15400.000000 1.003995
15410.000000 1.026197
15420.000000 1.000723
15430.000000 1.015988
15440.000000 0.992651
15450.000000 1.011238
15460.000000 1.001427
15470.000000 0.989518
15480.000000 0.992827
15490.000000 0.981329
15500.000000 1.005798
15510.000000 1.003172
15520.000000 0.991423
15530.000000 0.991350
15540.000000 0.993045
15550.000000 0.985786
15560.000000 0.986400
15570.000000 0.978165
15580.000000 0.968326
15590.000000 0.974245
15600.000000 0.971135
15610.000000 0.978177
15620.000000 0.970488
15630.000000 0.971939
15640.000000 0.983852
15650.000000 0.958462
15660.000000 0.988180
15670.000000 0.968835
15680.000000 0.958677
15690.000000 0.985053
15700.000000 0.981462
15710.000000 0.993303
15720.000000 1.000888
15730.000000 1.036107
15740.000000 1.040407
15750.000000 1.042102
15760.000000 1.053260
15770.000000 1.044345
15780.000000 1.046184
15790.000000 1.028672
15800.000000 1.026681
15810.000000 1.022876
15820.000000 1.030385
15830.000000 1.014678
15840.000000 1.000381
15850.000000 1.006534
15860.000000 0.991581
15870.000000 1.000192
15880.000000 1.021410
15890.000000 1.004240
15900.000000 0.990263
15910.000000 0.998598
15920.000000 1.004383
15930.000000 0.989957
15940.000000 0.989886
15950.000000 0.983826
15960.000000 0.973502
15970.000000 0.998231
15980.000000 0.965338
15990.000000 0.995859
16000.000000 0.969267
16010.000000 0.980360
16020.000000 0.981935
16030.000000 0.985949
16040.000000 0.964004
16050.000000 0.975256
16060.000000 0.973820
16070.000000 0.973232
16080.000000 0.959623
16090.000000 0.963471
16100.000000 0.972826
16110.000000 0.963015
16120.000000 0.963975
16130.000000 0.953650
16140.000000 0.978249
16150.000000 0.975738
16160.000000 0.964699
16170.000000 0.993014
16180.000000 1.000642
16190.000000 0.982251
16200.000000 1.004780
16210.000000 0.993700
16220.000000 0.996003
16230.000000 0.995316
16240.000000 1.027736
16250.000000 1.045174
16260.000000 1.034921
16270.000000 1.027676
16280.000000 1.057640
16290.000000 1.054882
16300.000000 1.049455
16310.000000 1.046724
16320.000000 1.047736
16330.000000 1.068855
